ABC-book	букварь
pinner	род чепчика
shantung	род чесучи
star-crossed	родившийся под несчастливой звездой
rhodium	родий
puerperal	родильный
travail	родовые муки
rhododendron	рододендрон
rhodonite	родонит
sisterhood	родственная связь сестер
relative	родственник
relationship	родство
twin-birth	рождение двойни
slave-born	рожденный в рабстве
sea-born	рожденный морем
shoehorn	рожок (для обуви)
rye	рожь
sweet-brier	роза эглантерия
rosarium	розарий
roseola	розеола
rosette	розетка
rosemary	розмарин
retail	розничная продажа
retailer	розничный торговец
pinkish	розоватый
rose-water	розовая вода
rose-drop	розовые угри
rose-coloured	розовый
roseate	розовый
rosy	розовый
pinko	'розовый'
rose-bush	розовый куст
rose-tree	розовый куст
rose-colour	розовый цвет
swarm	рой
rock'n'roll	рок-н-ролл jazz
role	роль
rum	ром
romanticism	романтизм
romanticist	романтик
romantic	романтичный
rhomb	ромб
rhombus	ромб
rhombic	ромбический
rhomboid	ромбоид
rondeau	рондо
rondo	рондо
shed	ронять
repine	роптать
silk-stocking	роскошно одетый человек
sumptuous	роскошный
stream-gold	россыпное золото
stature	рост
upgrowth	рост
upsurge	рост
usurer	ростовщик
usurious	ростовщический
usury	ростовщичество
rostral	ростральный (о колонне)
sundew	росянка
potato-box	рот
rattan	ротанг (пальма)
rottweiler	ротвейлер (порода собак)
rictus	ротовое отверстие
rotogravure	ротогравюра
rotunda	ротонда
rotor	ротор
spinney	рощица
royalist	роялист
royalistic	роялистский
quicksilver	ртуть
shirting	рубашечная ткань
shirt	рубашка (мужская)
tripe	рубец (кушанье)
rumen	рубец (первый отдел желудка жвачных)
rubidium	рубидий
ruby	рубин
rubious	рубинового цвета
slashing	рубка саблей
rouble	рубль
rubric	рубрика
scarring	рубцевание
rater	ругатель
swear-word	ругательство
veinstone	руда из жилы
rudder-post	рудерпост
rudiment	рудиментарный орган
rifle-shot	ружейный выстрел
sleeve	рукав
plough-tail	рукоятка плуга
roulade	рулада
pilot-house	рулевая рубка
steering-wheel	рулевое колесо
steering	рулевое управление
steersman	рулевой
steering-gear	рулевой механизм
tape-line	рулетка
roulette	рулетка (азартная игра)
rudder	руль
rhumb	румб
rumba	румба (танец)
rouge	румяна
rubicund	румяный
ruddy	румяный
rune	руна
runic	рунический
rupee	рупия (денежная единица некоторых стран Азии)
speaking-trumpet	рупор
sea-maid	русалка
river-bed	русло реки
ruthenium	рутений
vouch	ручаться
rill	ручеек
runnel	ручеек
streamlet	ручеек
thread-needle	'ручеек' (детская игра)
spruit	ручеек (обыкн. пересохший)
runlet	ручеек винный бочонок
rivulet	ручей
pud	ручка
pump-handle	ручка насоса
trench-bomb	ручная граната
quern	ручная мельница
push-cart	ручная тележка
stink-ball	ручная химическая граната
tame	ручной
pilot-fish	рыба-лоцман
piscina	рыбный садок
pisciculturist	рыбовод
pisciculture	рыбоводство
seine	рыболовная сеть
piscatorial	рыболовный
piscatory	рыболовный
piscivorous	рыбоядный
sob	рыдание
tawny	рыжевато-коричневый
redheaded	рыжеволосый
redhead	рыжеволосый человек
snout	рыло
ring-bolt	рым-болт
trotter	рысак
trot	рысь
pot-hole	рытвина
rootle	рыть землю рылом (о свиньях)
snarl	рычание
rucksack	рюкзак
stemware	рюмки
quilling	рюш
ruche	рюш
rowan	рябина
sorb	рябина
service-tree	рябина домашняя
pock-marked	рябой
ripple	рябь
ruffle	рябь
range	ряд
rank	ряд
row	ряд
series	ряд
squaddie	рядовой в армии
selfwinding	с автоматическим заводом
self-adjusting	с автоматической регулировкой (о приборе , устройстве и т. п.)
wall-eyed	с бельмом на глазу
tallow-faced	с бледным одутловатым лицом
shoppy	с большим количеством магазинов (о районе города)
self-important	с большим самомнением
star-studded	с большим числом знаменитостей
post-haste	с большой поспешностью
puffed	с буфами (о рукавах)
self-cooling	с воздушным охлаждением
prognathous	с выдающимися челюстями
politically	с государственной или политической точки зрения
two-gun	с двумя пистолетами или ружьями
pityingly	с жалостью
spindle-legged	с журавлиными ногами (о человеке)
pippin-faced	с круглым красным лицом
pigeon-breasted	с куриной грудью (о человеке)
short-range	с малым радиусом действия
tender-eyed	с мягким ласковым взглядом
tipped	с наконечником
tensely	с напряжением
unpaged	с ненумерованными страницами
poker-faced	с непроницаемым
straight-faced	с непроницаемым лицом
red-handed	с окровавленными руками
post-paid	с оплаченными почтовыми расходами
spiked	с остриями
pigeon-toed	с пальцами ног
streaked	с полосами
square-rigged	с прямым парусным вооружением
top-rated	с самым высоким рейтингом (о шахматисте и т. п.)
pithy	с сердцевиной
pouched	с сумкой или с карманами
therewith	с тем
since	с тех пор
prick-eared	с торчащими вверх ушами
square-toed	с тупыми
tufted	с хохолком
thenceforth	с этого времени
seed-drill	с.-х. рядовая сеялка
sabre-toothed	саблезубый
sabre	сабля
sabotage	саботаж
ratten	саботировать
shroud	саван
savoy	савойская капуста
saga	сага
sago	саго (крупа)
rosary	сад или грядка с розами
rock-garden	сад с декоративными каменными горками
sadism	садизм
sadist	садист
sadistic	садистский
secateur	садовые ножницы
secateurs	садовые ножницы
swannery	садок для лебедей
sado-masochism	садо-мазохизм
sado-masochistic	садо-мазохистский
smoke-black	сажа
smut	сажа
soot	сажа
pollack	сайда (рыба)
valise	саквояж
sacramental	сакраментальный
saxhorn	саксгорн (муз. инструмент)
saxophone	саксофон
saxophonist	саксофонист
salamander	саламандра
salad	салат
slaw	салат из шинкованной капусты (тж. cold slaw)
salad-bowl	салатница
salicylic	салициловый
salmagundi	салмагунди (мясной салат с анчоусами , яйцами и луком)
saloon	салун
serviette	салфетка
table-napkin	салфетка
salmonella	сальмонелла (бактерия)
stuffing-box	сальник
sebaceous	сальный
tallowy	сальный
salsa	сальса (род карибской музыки)
salami	салями (сорт копченой колбасы)
samarium	самарий
samba	самба (бразильский танец)
sambo	самбо (потомок смешанного брака индейцев и негров в Латинской Америке)
roebuck	самец косули
vixen	самка лисицы
prairie-hen	самка лугового тетерева
ringtail	самка луня
self-flagellation	самобичевание
samovar	самовар
self-suggestion	самовнушение
self-lighting	самовоспламеняющийся
self-praise	самовосхваление
self-expression	самовыражение
skiffle-group	самодеятельный вокально-инструментальный ансамбль
smirk	самодовольная
self-righteous	самодовольный
self-satisfied	самодовольный
smug	самодовольный и ограниченный
self-complacency	самодовольство
self-satisfaction	самодовольство
self-abandonment	самозабвение
self-healing	самозаживление
self-loading	самозарядный
self-styled	самозваный
self-induction	самоиндукция
self-adhesive	самоклеющийся
self-criticism	самокритика
soul-searching	самокритический анализ своих действий
sky-writer	самолет для воздушной рекламы
torpedo-plane	самолет-торпедоносец
self-destruct	самоликвидироваться
self-conceit	самомнение
self-importance	самомнение
seeker	самонаводящийся снаряд
presuming	самонадеянный
presumptuous	самонадеянный
self-command	самообладание
self-control	самообладание
self-possession	самообладание
self-deceit	самообман
self-deception	самообман
self-delusion	самообман
self-defence	самооборона
self-service	самообслуживание
self-determination	самоопределение
self-pollination	самоопыление
self-condemnation	самоосуждение
selfless	самоотверженный
self-abnegation	самоотречение
self-renunciation	самоотречение
self-denial	самоотречение temperance
self-explanatory	самоочевидный
self-recording	самопишущий
self-feeder	самоподающий механизм
self-sustaining	самоподдерживающийся (о реакции , процессе и т. п.)
self-raising	самоподнимающийся
self-sacrifice	самопожертвование
self-knowledge	самопознание
self-help	самопомощь
self-adaptive	самоприспосабливающийся
self-examination	самопроверка
self-motion	самопроизвольное движение
self-action	самопроизвольное действие
spontaneity	самопроизвольность
spontaneous	самопроизвольный
self-fulfilling	самореализовавшийся
prill	самородок
self-assembly	самосборка
tiplorry	самосвал
tipper	самосвал
tumbrel	самосвальная тележка
tumbril	самосвальная тележка
self-luminous	самосветящийся
self-sown	самосевный
self-cultivation	самосовершенствование
self-immolation	самосожжение
self-doubt	самосомнение
self-preservation	самосохранение
self-sufficient	самостоятельный
self-supporting	самостоятельный
substantive	самостоятельный
suicidal	самоубийственный
self-murder	самоубийство
self-violence	самоубийство
suicide	самоубийство
self-assurance	самоуверенность
self-confidence	самоуверенность
self-confident	самоуверенный
self-opinionated	самоуверенный
self-abasement	самоунижение
self-effacement	самоуничижение
self-humiliation	самоуничижение
self-destruction	самоуничтожение
self-government	самоуправление
self-rule	самоуправление
self-governing	самоуправляющийся
self-affirmation	самоутверждение
self-propelled	самоходный (об артиллерии , орудиях)
self-propelling	самоходный (об артиллерии , орудиях)
self-centering	самоцентрирующийся
sampan	сампан
sand-storm	самум
simoom	самум
simoon	самум
samurai	самурай
topmost	самый верхний
uppermost	самый верхний
rearmost	самый задний
undermost	самый нижний
ultimate	самый отдаленный
utmost	самый отдаленный
southernmost	самый южный
rabbinate	сан раввина
sanatorium	санаторий
sanguine	сангвинический
sandal	сандалия
stretcher-bearer	санитар-носильщик
sanitary	санитарный
sanitarian	санитарный врач
sanction	санкция
sansculotte	санкюлот
sapper	сапер
shoe-leather	сапожная кожа
shoemaker	сапожник
shoe-nail	сапожный гвоздь
saprogenic	сапрогенный
saprogenous	сапрогенный
saprophyte	сапрофит
sapphire	сапфир
saraband	сарабанда (танец и музыкальная форма)
sarafan	сарафан
sargasso	саргассовая водоросль
pilchard	сардина
sardine	сардина
sardonyx	сардоникс
sardonic	сардонический sarcastic
serge	саржа
sari	сари (индийская женская одежда)
sarcasm	сарказм ridicule
sarcastic	саркастический biting
quip	саркастическое замечание
sarcoma	саркома neoplasm
sarcophagus	саркофаг
sarong	саронг (индонезийская национальная одежда)
sassafras	сассафрас
sateen	сатин
satinet	сатинет
satyr	сатир
satire	сатира
satirist	сатирик
satrap	сатрап
satrapy	сатрапия
soda-fountain	сатуратор
safari	сафари
saffian	сафьян
sugar	сахар
saccharin	сахарин
sugar-beet	сахарная свекла
sugar-basin	сахарница
sugary	сахарный
sugar-cane	сахарный тростник
saccharose	сахароза
scoop-net	сачок
ring-net	сачок для ловли бабочек
savings-bank	сберегательная касса
underbid	сбивать
quayage	сбор за стоянку у стенки
vintage	сбор или урожай винограда
setting-up	сборка
shirr	сборки
story-book	сборник рассказов
picker	сборщик (хлопка , фруктов и т. п.)
vintager	сборщик винограда
tax-collector	сборщик налогов
tollman	сборщик пошлины
unhorse	сбрасывать с лошади
ragtag	сброд
unseat	сбросить с седла
pile-dwelling	свайная постройка
rough-and-tumble	свалка
scramble	свалка
scrap-heap	свалка
scrapyard	свалка
soft-boiled	сваренный всмятку
virago	сварливая женщина
shrewish	сварливый
vixenish	сварливый
swastika	свастика
regimentation	сведение в полк(и)
unhackneyed	свежий
subvert	свергать
uncrown	свергать с престола
unking	свергнуть с престола
unthrone	свергнуть с престола
scintillation	сверкание
scintillate	сверкать
sparkling	сверкающий
ultra-	сверх-
superstate	сверхдержава
supersonic	сверхзвуковой
ultrasonic	сверхзвуковой
superfortress	сверхмощная летающая крепость
supernova	сверхновая (звезда)
superprofit	сверхприбыль
superconductivity	сверхпроводимость
superconductor	сверхпроводник
ultramodern	сверхсовременный
superfluidity	сверхтекучесть
superiorly	сверху
superman	сверхчеловек
superhuman	сверхчеловеческий supernatural
supersensible	сверхчувственный
supernumerary	сверхштатный работник
preternatural	сверхъестественный
supernatural	сверхъестественный magical
starlight	свет звезд
torchlight	свет факела
tow-head	светлые волосы
photophobia	светобоязнь
photic	световой
phototherapy	светолечение
traffic-light	светофор
photoactive	светочувствительный
photosensitive	светочувствительный
radiant	светящийся
tolly	свеча
rushlight	свеча с фитилем из сердцевины ситника
swaddling-clothes	свивальники
rendezvous	свидание
tete-a-tete	свидание или разговор наедине
pratique	свидетельство о снятии карантина
piggery	свинарник
pigsty	свинарник
swinery	свинарник
sty	свинарник тж. ячмень (на глазу) wart
pigskin	свиная кожа
plumbum	свинец
pork	свинина
piggy	свинка
piggy-wiggy	свинка
swine-breeding	свиноводство
piggish	свиной
porcine	свиной
swineherd	свинопас
swinish	свинский
plumbeous	свинцовый
plumbic	свинцовый
plummet	свинцовый отвес
pettitoes	свиные ножки (кушанье)
reed-pipe	свирель
syrinx	свирель (Пана)
truculent	свирепый
phut	свист
ping	свист (пули)
swish	свист (хлыста и т. п.)
sibilant	свистящий
retinue	свита
suite	свита
slip-on	свитер
sweater	свитер эксплуататор
roll	свиток
scroll	свиток
tag	свободный
unbound	свободный
unoccupied	свободный
self-access	свободный доступ (в библиотеке)
toll-free	свободный от пошлины
vault	свод
statute-book	свод законов
tabulate	сводить в таблицы
stepsister	сводная сестра
pimp	сводник
procuress	сводница
stepbrother	сводный брат
vaulted	сводчатый
self-will	своеволие
self-willed	своевольный
timeliness	своевременность
timely	своевременный modern
self-interest	своекорыстие
self-seeking	своекорыстный
self-seeker	своекорыстный человек
restive	своенравный
tie-up	связанность
related	связанный
tidal	связанный с приливом и отливом
serendipitous	связанный со счастливым случаем
signaller	связист
truss	связка
rapport	связь
tie	связь
sanctorum	святая святых
sanctum	святая святых
sanctuary	святилище
saint	святой
sainted	святой
sainthood	святость
sanctity	святость
sacrilegious	святотатственный
sacrilege	святотатство
priest	священник
priestly	священнический
sacerdotal	священнический
sacred	священный
sacrosanct	священный
priesthood	священство
ply	сгиб
scratch-work	сграффито
sgraffito	сграффито
unship	сгружать с корабля
relinquish	сдавать
surrender	сдача
upheaval	сдвиг
redbrick	сделанный из красного кирпича
twice-laid	сделанный из обрезков
rough-and-ready	сделанный кое-как
unworkmanlike	сделанный по-любительски
tailored	сделанный портным
tasteful	сделанный со вкусом
time-bargain	сделка на срок
piece-work	сдельная работа
piece-rate	сдельный (об оплате)
piece-worker	сдельщик
restraint	сдержанность
reticence	сдержанность
temperance	сдержанность
restrained	сдержанный
reticent	сдержанный
self-collected	сдержанный
stand-offish	сдержанный
undemonstrative	сдержанный
pent-up	сдерживаемый
restrain	сдерживать
pikelet	сдобная булочка
tea-bread	сдобный хлебец или булочка к чаю
themselves	себя
thyself	себя
self-love	себялюбие
sowing	сев
upstate	северная часть штата
septentrional	северный
reindeer	северный олень
somite	сегмент
segmentation	сегментация
to-day	сегодня
today	сегодня
to-night	сегодня вечером (реже ночью)
tonight	сегодня вечером (реже ночью)
sciatic	седалищный
sedan	седан (тип закрытого кузова)
saddle-bow	седельная лука
saddle-spring	седельный амортизатор (у велосипеда и т. п.)
saddle-bag	седельный вьюк
saddler	седельный мастер
saddle	седло
saddleback	седловина (горы)
til	сезам
seasonal	сезонный
season-ticket	сезонный билет
seiner	сейнер
seismic	сейсмический
seismograph	сейсмограф
seismology	сейсмология
safe	сейф
strong-box	сейф
seiche	сейш (колебание уровня)
sequestration	секвестр
sequestrate	секвестровать
sequoia	секвойя
secretarial	секретарский
secretary-bird	секретарь (птица)
receptionist	секретарь в приемной (у врача , фотографа и т. п.)
secretaire	секретер
privity	секретность
sexologist	сексолог
sexology	сексология
sextant	секстант
sexuality	сексуальность
raunchy	сексуальный
sexy	сексуальный
sect	секта denomination
sectary	сектант
sectarian	сектантский
sectarianism	сектантство
sectionalism	сектантство
sector	сектор
secularization	секуляризация
secularize	секуляризовать
stop-watch	секундомер с остановом
secant	секущая
sectional	секционный
spleen	селезенка
splenetic	селезеночный
splenic	селезеночный
selenium	селен
selenography	селенография
selenology	селенология
saltpetre	селитра
porbeagle	сельдевая акула
rural	сельский
villager	сельский житель
seltzer	сельтерская вода (тж. seltzer water)
salaam	селям (восточное приветствие)
seme	сема
semanteme	семантема
semantics	семантика
semantic	семантический
semasiology	семасиология
semaphore	семафор
sememe	семема
seed-vessel	семенная коробочка
seminal	семенной
spermatic	семенной
seed-leaf	семенодоля
seminiferous	семеносный
septenary	семеричный
semester	семестр
septuagenarian	семидесятилетний
septan	семидневный
septuple	семикратный
sevenfold	семикратный
septennial	семилетний
seminar	семинар
seminarian	семинарист
semiotics	семиотика
septilateral	семисторонний
seventeen	семнадцать
seven	семь
seventy	семьдесят
semen	семя
seed-lobe	семядоля
sen	сен (разменная монета Японии , Индонезии , Камбоджи)
senate	сенат
senator	сенатор
senatorial	сенаторский
senega	сенега
seneschal	сенешаль
tedder	сеноворошилка
startler	сенсационное событие или заявление
sensational	сенсационный
scare-head	сенсационный заголовок (в газете)
scare-heading	сенсационный заголовок (в газете)
sensationalism	сенсуализм
sensationalist	сенсуалист
schmaltz	сентиментальная болтовня
torch-song	сентиментальная песенка о несчастной любви
sentimentalize	сентиментальничать
sentimentality	сентиментальность
schmaltzy	сентиментальный
sentimental	сентиментальный effusive
sentimentalist	сентиментальный человек
sob-stuff	сентиментальщина
seigniorial	сеньоральный
separatism	сепаратизм
separatist	сепаратист
separator	сепаратор
sepia	сепия (краска)
sepsis	сепсис
septic	септический
sulphur	сера
seraglio	сераль
seraph	серафим
seraphic	серафический
servo-motor	серводвигатель
servo-mechanism	сервомеханизм
warm-hearted	сердечный
rambunctious	сердитый
rile	сердить
pith	сердцевина (растения)
silvery	серебристый
siller	серебро
silver	серебро
sixpence	серебряная монета в 6 пенсов или 1/2 шиллинга
silvern	серебряный
silversmith	серебряных дел мастер
serenade	серенада
serial	серийный
stock-car	серийный или стандартный автомобиль
salt-cake	сернокислый натрий
sulphureous	серный
sulphuric	серный
sulphur-spring	серный источник
sage-green	серовато-зеленый
perse	серовато-синий
serous	серозный
taupe	серо-коричневый
reaping-hook	серп
sickle	серп
saw-wort	серпуха
surf-riding	серфинг
pyrites	серый колчедан
steel-gray	серый цвет с голубым отливом
seriousness	серьезность
serious	серьезный
sesterce	сестерций (римская монета)
sister	сестра
sisterly	сестринский
reticle	сетка
snood	сетка (для волос)
string-bag	сетка (сумка для продуктов)
setter	сеттер (собака)
retina	сетчатка
reticulate	сетчатый
reticulated	сетчатый
reticulation	сетчатый узор
toils	сеть
seeding-machine	сеялка
sowing-machine	сеялка
seedling	сеянец
seeder	сеятель
sower	сеятель
sow	сеять
squeeze	сжатие
succinct	сжатый
terse	сжатый
squeezability	сжимаемость
strangulate	сжимать
tighten	сжимать(ся)
squeezable	сжимающийся
posteriorly	сзади
si	си
sybarite	сибарит
sybaritic	сибаритский
sibyl	сивилла
signal	сигнал
tattoo	сигнал вечерней зори
phone-in	сигнал вызова (по связи)
time-signal	сигнал точного времени
sky-rocket	сигнальная ракета
signal-man	сигнальщик
squat	сидение на корточках
sitzkrieg	'сидячая' война (о начальном периоде второй мировой войны)
sit-in	сидячая/итальянская забастовка
sedentary	сидячий
sessile	сидячий
sit-down	сидячий
sejant	сидящий
squatter	сидящий на корточках
stranded	сидящий на мели
sienna	сиена
syenite	сиенит
siesta	сиеста
sisal	сизаль (обработанные волокна текстильных агав)
sycamore	сикамор (тж. sycamore fig)
shekel	сикель (_др-евр. мера веса и монета)
sycosis	сикоз
potency	сила
power	сила
strength	сила
superpower	сила
vehemence	сила
vigour	сила
violence	сила
silicate	силикат
syllogism	силлогизм
power-plant	силовая установка
snare	силок
springe	силок
silage	силос
silo	силосная яма или башня
silhouette	силуэт
vigorously	сильно
violently	сильно
swinge	сильно ударять
rampage	сильное возбуждение
spanking	сильные шлепки
powerful	сильный
red-blooded	сильный
strenuous	сильный
strong	сильный
sturdy	сильный
vehement	сильный
vigorous	сильный
swashing	сильный (об ударе)
slugger	сильный отбивающий игрок (в бейсболе)
slog	сильный удар
staggerer	сильный удар
swipe	сильный удар
wallop	сильный удар
strongman	сильный человек
souther	сильный южный ветер
sylph	сильф
symbiosis	симбиоз
symbiotic	симбиозный
symbol	символ
symbolize	символизировать
symbolism	символизм
symbolist	символист
tokenism	символическое мероприятие
symmetry	симметрия
simony	симония
symposium	симпозиум
symptom	симптом
symptomatic	симптоматический
simulate	симулировать
simulation	симуляция
symphonic	симфонический
symphony	симфония
synagogue	синагога
synapse	синапс
syndic	синдик
syndicalism	синдикализм anarchism
syndicalist	синдикалист
syndicate	синдикат
syndrome	синдром
steel-blue	синевато-стальной цвет
sanhedrim	синедрион
synecdoche	синекдоха
sinecure	синекура
titmouse	синица
tomtit	синица
syncopation	синкопа
syncopate	синкопировать
syncretism	синкретизм
synonym	синоним
synonymous	синонимический
synonymy	синонимичность
syntax	синтаксис
synthesis	синтез
sequencer	синтезатор
synthesizer	синтезатор
synthesize	синтезировать
synthetics	синтетические материалы
sine	синус без
synchronizer	синхронизатор
syncro-mesh	синхронизатор (коробки передач)
sync	синхронизация звука и изображения
synch	синхронизация звука и изображения
synchronize	синхронизировать
synchronism	синхронизм
synchronous	синхронный
synchrotron	синхротрон
synchrophasotron	синхрофазотрон
synchrocyclotron	синхроциклотрон
sepoy	сипай
screech-owl	сипуха
siren	сирена
sirocco	сирокко
syrup	сироп
stretch-out	система
system	система
sacerdotalism	система государственного управления
trap-line	система капканов
systematize	систематизировать
taxonomy	систематика
systemic	систематический
systole	систола
strainer	сито
pox	сифилис
syphilis	сифилис
syphilitic	сифилитический
siphon	сифон
radiance	сияние
radiancy	сияние
refulgence	сияние
shine	сияние
refulgent	сияющий
scabious	скабиоза
predicate	сказуемое
skipping-rope	скакалка
racehorse	скаковая лошадь
rock	скала
tor	скалистая вершина холма
rocky	скалистый
rolling-pin	скалка
scalpel	скальпель
scalar	скалярный
tabouret	скамеечка
podium	скамьи вдоль стен комнаты
settle	скамья(-ларь) поселить(ся)
scandalous	скандальный
scandium	скандий
scansion	скандирование (стиха)
scanning	сканирование
scarab	скарабей (жук)
stingy	скаредный
scarifier	скарификатор
scarification	скарификация
ramp	скат
skat	скат
skate	скат (рыба) конек
table-cloth	скатерть
prance	скачок
prancing	скачущий
squire	сквайр
ribald	сквернослов
ribaldry	сквернословие
starling	скворец водорез
skateboard	скейтборд
skeleton	скелет
skeletal	скелетный
sceptic	скептик agnostic
scepticism	скептицизм doubt
sceptical	скептический
scherzo	скерцо
rebate	скидка
sceptre	скипетр
turpentine	скипидар
rover	скиталец
vagabondize	скитаться
stockroom	склад
storehouse	склад
scene-dock	склад декораций
plica	складка
plication	складка
ruckle	складка
pleat	складка (на платье)
tuck	складка (на платье)
press-bed	складная кровать (убирающаяся в шкаф)
plicate	складчатый
plicated	складчатый
stowage	складывание
sclerosis	склероз
sclerotic	склеротический
slant	склон
proclivity	склонность
propensity	склонность
puristic	склонный к пуризму
vail	склонять (оружие , знамена)
phial	склянка
staple	скобка
scrape	скобление и пр. {см. scrape 2}
slide	скольжение
slip	скольжение
tail-slide	скольжение на хвост
slither	скользить
slippery	скользкий
slippy	скользкий
slithery	скользкий
slip-knot	скользящий узел
purpose-built	сконструированный или изготовленный для специальных целей
rather	скорее
shell	скорлупа
skinner	скорняк
soon	скоро
tongue-twister	скороговорка
rareripe	скороспелый
quick-firer	скорострельное оружие
quick-firing	скорострельный
rapid-fire	скорострельный
speed	скорость
velocity	скорость
two-forty	скорость в одну милю за две минуты 40 секунд
swift	скорый
swift-handed	скорый
splay	скос
stockyard	скотопригонный двор
scroop	скрип
violinist	скрипач
violin	скрипка (инструмент)
retiring	скромный
self-effacing	скромный
unassertive	скромный
unassuming	скромный
unobtrusive	скромный
unpretentious	скромный
skulk	скрываться
reserved	скрытный
secretive	скрытный taciturn
ulterior	скрытый
skinflint	скряга
poorly	скудно
skimp	скудно снабжать
pittance	скудное вспомоществование или жалованье
scant	скудный
scanty	скудный
scrimpy	скудный
skimpy	скудный
sparing	скудный
tedium	скука
sculptor	скульптор
sculpture	скульптура
statuary	скульптура
sculptural	скульптурный
sculpturesque	скульптурный
tightwad	скупец
scrimp	скупиться (на что-л.)
penny-pinching	скупой
penurious	скупой
tight-fisted	скупой
tedious	скучный
purgative	слабительный
underwit	слабоумный (человек)
reckling	слабый
queasy	слабый (о желудке)
slipslop	слабый напиток
renown	слава
sweet	сладкий
syrupy	сладкий
sweetly	сладко и пр. {см. sweet 1}
sweetish	сладковатый
polypody	сладкокорень
silver-tongued	сладкоречивый
smooth-talking	сладкоречивый
smooth-tongued	сладкоречивый
venereal	сладострастный
sweetness	сладость
slalom	слалом
slate	сланец
schistose	сланцеватый
schistous	сланцеватый
slaty	сланцеватый
shale-oil	сланцевый деготь
sweet-stuff	сласти
sensualist	сластолюбец
voluptuary	сластолюбец
pretty-pretty	слащаво красивый
slightly	слегка
squiffy	слегка подвыпивший
tepefy	слегка подогревать(ся)
scumble	слегка покрывать краской
relic	след
trace	след
track	след
trail	след
vestige	след
spoor	след (зверя)
posteriority	следование (за чем-л.)
succeed	следовать за чем-л.
proximo	следующего месяца
sequent	следующий
supervenient	следующий за чем-л.
tear-drop	слеза
tear-jerker	слезливый фильм
tear-duct	слезный проток
tear-gas	слезоточивый газ
rheumy	слезящийся
slang	сленг
pipefitter	слесарь-водопроводчик
plum	слива
sundae	сливочное мороженое с фруктами
pituitary	слизистый
slimy	слизистый
slime	слизь
slipway	слип
too	слишком
undercharge	слишком низкая цена
vocabulary	словарь
type-foundry	словолитня
type-founder	словолитчик
syllable	слог
syllabary	слоговая азбука
syllabic	слоговой
stratus	слоистое облако
tusker	слон или кабан с большими клыками
rambling	слоняющийся
servant	слуга
servitor	слуга
valet	слуга
servant-maid	служанка
purposive	служащий для определенной цели
prognostic	служащий предвестником
train-service	служба движения
war-dog	служебная собака
serve	служить
prefigure	служить прообразом
rumour	слух
perchance	случайно
sideswipe	случайное замечание
precarious	случайный
rehear	слушать вторично (судебное дело)
saliva	слюна
spittle	слюна
sputum	слюна
slobber	слюни
salivary	слюнный
salivation	слюнотечение
slobbery	слюнявый
sleety	слякотный
slushy	слякотный
slush	слякоть
smalt	смальта
scarper	сматываться
plucky	смелый
venturesome	смелый
relay	смена (особ. лошадей)
removability	сменяемость
regelate	смерзатьс
pestilent	смертоносный
predecease	смерть (кого-л.) , предшествовавшая смерти другого
ridiculous	смехотворный
risibility	смешливость
risible	смешливый
ticklish	смешливый
translocate	смещать
smilingly	смеясь
tuxedo	смокинг
sycamine	смоковница
pitch	смола
resin	смола
rosin	смола
tar	смола
pitch-pine	смолистая сосна
pitchy	смолистый
resinous	смолистый
shrunken	сморщенный
shrivel	сморщивать(ся)
supervise	смотреть
scry	смотреть в 'магический кристалл'
vide	смотри
swarthy	смуглый
purport	смысл
rain-swept	смытый дождем
soften	смягчать(ся)
relent	смягчаться
relaxing	смягчающий
softening	смягчение
provide	снабжать
provision	снабжение
supply	снабжение
victualling	снабжение продовольствием
pronged	снабженный зубцами
strung	снабженный струнами
tentaculated	снабженный щупальцами
tagged	снабженный ярлыком
tirailleur	снайпер
tear-shell	снаряд со слезоточивым газом
snow	снег
snow-plough	снеговой плуг
snow-fence	снегозащитное заграждение
snow-fall	снегопад
snow-shoes	снегоступы
snow-flake	снежинка
snow-broth	снежная слякоть
snowy	снежный
snow-bank	снежный нанос
snow-drift	снежный сугроб
snowman	снежный человек
snowball	снежок
reduction	снижение
wage-cut	снижение заработной платы
tariff-reform	снижение таможенных пошлин (в СШ)
price-cutting	снижение цен
uncover	снимать (крышку , покров и т. п.)
unhang	снимать (что-л. висящее)
unbolt	снимать засов
unbelt	снимать или расстегивать пояс
unmask	снимать или срывать маску
unshackle	снимать кандалы
unmuzzle	снимать намордник
unshoe	снимать обувь (с кого-л.)
unrobe	снимать одеяние или мантию
unfetter	снимать оковы
uncloak	снимать плащ
unveil	снимать покрывало (с чего-л.)
unhinge	снимать с петель (дверь)
untile	снимать черепицу
uncap	снимать шляпу
unyoke	снимать ярмо (с кого-л.)
snapshot	снимок
snob	сноб
snobbery	снобизм
snobbish	снобистский
snobby	снобистский
re-	снова
relive	снова вернуться к жизни
retake	снова взять
re-enter	снова войти
repossess	снова вступать во владение (чем-л.)
remount	снова всходить
relight	снова зажечь
relume	снова зажигать
reuse	снова использовать
re-lay	снова класть
recapitalize	снова наживать капитал
rediscover	снова найти
replenish	снова наполнять
re-strain	снова натягивать
recrudesce	снова открываться
reconquer	снова побеждать
reconnect	снова подключать (электричество , газ , воду)
re-cover	снова покрывать
revisit	снова посетить
reappear	снова появляться
reawaken	снова пробуждать (чувство , желание и т. п.)
retry	снова разбирать (судебное дело)
retell	снова рассказывать
reassemble	снова собираться
